model,data,num_prompts,concurrency,max_tokens,total_time_s,requests_per_s,output_units_per_s,success,errors,error_rate,accuracy,parse_success_rate,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,ttft_mean_s,ttft_p50_s,ttft_p95_s,tpot_mean_s,tpot_p95_s,token_source,job_id,config,summary_file
qwen2_5_vl_3b_awq,data/mmstar_full/mmstar_requests.jsonl,1500,1,16,281.88926305249333,5.321238502513203,10.635382020356388,1500,0,0.0,0.5346666666666666,0.9993333333333333,0.18674962046245733,0.1725553683936596,0.25549619272351265,0.6507885381579399,0.15034913136720102,0.13668766617774963,0.21348489075899124,0.03604506709183591,0.0367189459502697,usage.completion_tokens,9128,AWQ,results/9128_awq_c1.summary.json
qwen2_5_vl_3b_awq,data/mmstar_full/mmstar_requests.jsonl,1500,2,16,180.5267383903265,8.309018449980357,16.606958208694074,1500,0,0.0,0.5346666666666666,0.9993333333333333,0.2394748997663458,0.21336261183023453,0.34843412786722183,0.9202509894967079,0.17592239520295688,0.15470434352755547,0.284877672791481,0.06321526734062717,0.08018143102526665,usage.completion_tokens,9128,AWQ,results/9128_awq_c2.summary.json
qwen2_5_vl_3b_awq,data/mmstar_full/mmstar_requests.jsonl,1500,4,16,118.67072611674666,12.640017037768187,25.263180719486016,1500,0,0.0,0.5346666666666666,0.9993333333333333,0.31478631201634805,0.27387751266360283,0.6249233521521091,1.192730538547039,0.2355901928242045,0.18657109513878822,0.4840026758611202,0.07888676569591449,0.11093603819608688,usage.completion_tokens,9128,AWQ,results/9128_awq_c4.summary.json
qwen2_5_vl_3b_bf16,data/mmstar_full/mmstar_requests.jsonl,1500,1,16,231.3186038173735,6.484562742667481,12.960479401678072,1500,0,0.0,0.5453333333333333,0.9993333333333333,0.15345591602722805,0.13725613802671432,0.24197328090667725,0.6501848250627518,0.1413973523073987,0.125671174377203,0.2285953126847744,0.011605230434049043,0.011978156864643097,usage.completion_tokens,9126,BF16,results/9126_bf16_c1.summary.json
qwen2_5_vl_3b_bf16,data/mmstar_full/mmstar_requests.jsonl,1500,2,16,163.01484643667936,9.201615882162317,18.390962943148416,1500,0,0.0,0.546,0.9993333333333333,0.21676886212577423,0.19169224426150322,0.33111966773867607,0.9244944006204605,0.17732824605104922,0.147952638566494,0.30100148171186447,0.03905507307586629,0.07130848988890648,usage.completion_tokens,9126,BF16,results/9126_bf16_c2.summary.json
qwen2_5_vl_3b_bf16,data/mmstar_full/mmstar_requests.jsonl,1500,4,16,107.84358824789524,13.90903274241967,27.799520107849446,1500,0,0.0,0.548,0.9993333333333333,0.28663257384548585,0.23116933181881905,0.6100212894380093,1.2667619362473488,0.22774749579997838,0.16712120175361633,0.49910765141248703,0.0585928119848258,0.10068449005484581,usage.completion_tokens,9126,BF16,results/9126_bf16_c4.summary.json
qwen2_5_vl_3b_bf16,data/mmstar_full/mmstar_requests.jsonl,1500,8,16,80.82239663600922,18.559212080227987,37.093678544349004,1500,0,0.0,0.5466666666666666,0.9993333333333333,0.42903189788013696,0.3420158587396145,1.0177148319780827,1.5909611657261848,0.3406394233031222,0.24791672080755234,0.9217272810637951,0.08813973941689257,0.1599469743669033,usage.completion_tokens,9126,BF16,results/9126_bf16_c8.summary.json
qwen2_5_vl_3b_bf16,data/mmstar_full/mmstar_requests.jsonl,1500,16,16,63.78840836510062,23.515244202591948,46.9991347462471,1500,0,0.0,0.548,0.9993333333333333,0.6758260651156306,0.5436306558549404,1.4678986892104149,2.209813427180052,0.526716630478415,0.38822975009679794,1.3002928532660007,0.14903694128566697,0.2657569833099842,usage.completion_tokens,9126,BF16,results/9126_bf16_c16.summary.json
qwen2_5_vl_3b_bf16,data/mmstar_full/mmstar_requests.jsonl,1500,32,16,58.634420059621334,25.582243304781603,51.1303769518235,1500,0,0.0,0.5453333333333333,0.9993333333333333,1.2376448719352484,1.078365247696638,2.2260548546910286,2.739452574402094,1.0515488918107736,0.9006143361330032,1.9961686879396439,0.18629305160109244,0.3658291883766651,usage.completion_tokens,9126,BF16,results/9126_bf16_c32.summary.json
qwen2_5_vl_3b_bf16_fp8kv,data/mmstar_full/mmstar_requests.jsonl,1500,1,16,231.55361032113433,6.477981483077278,12.947325657510454,1500,0,0.0,0.5473333333333333,0.9993333333333333,0.15300866348296405,0.13783156499266624,0.2095346823334694,0.5500382333993912,0.1413227351229536,0.12660739198327065,0.19473153725266457,0.01127736352190246,0.011682402342557907,usage.completion_tokens,9127,BF16 + FP8 KV,results/9127_bf16_fp8kv_c1.summary.json
qwen2_5_vl_3b_bf16_fp8kv,data/mmstar_full/mmstar_requests.jsonl,1500,2,16,145.8036891296506,10.287805534647205,20.561893995248216,1500,0,0.0,0.5486666666666666,0.9993333333333333,0.19279267678658168,0.15963100269436836,0.34546419978141785,0.8625535555183887,0.179440139436857,0.14719772338867188,0.32831041887402534,0.012983517593308399,0.015116870403289795,usage.completion_tokens,9127,BF16 + FP8 KV,results/9127_bf16_fp8kv_c2.summary.json
qwen2_5_vl_3b_bf16_fp8kv,data/mmstar_full/mmstar_requests.jsonl,1500,4,16,120.85471752285957,12.4115965908925,24.806644386330476,1500,0,0.0,0.552,0.9993333333333333,0.3195623307128747,0.2562655471265316,0.6472932286560535,1.5267551243305206,0.30223772980228036,0.2409900464117527,0.6305822059512138,0.016979717441385312,0.016786251217126846,usage.completion_tokens,9127,BF16 + FP8 KV,results/9127_bf16_fp8kv_c4.summary.json
qwen2_5_vl_3b_bf16_fp8kv,data/mmstar_full/mmstar_requests.jsonl,1500,8,16,108.59687012434006,13.812552776912874,27.606688816789866,1500,0,0.0,0.5493333333333333,0.9993333333333333,0.5743506994172931,0.4626663662493229,1.2440803088247776,2.1910364255309105,0.5543300394562779,0.445656955242157,1.2180934213101864,0.019807908050293442,0.02007705345749855,usage.completion_tokens,9127,BF16 + FP8 KV,results/9127_bf16_fp8kv_c8.summary.json
qwen2_5_vl_3b_bf16_fp8kv,data/mmstar_full/mmstar_requests.jsonl,1500,16,16,106.84945710375905,14.03844287709749,28.058167830358848,1500,0,0.0,0.5486666666666666,0.9993333333333333,1.1309237068668008,0.9482503794133663,2.227244384586811,2.803670048713684,1.0900045236258247,0.9167975820600986,2.0314535088837147,0.04098554909119931,0.1543973982334137,usage.completion_tokens,9127,BF16 + FP8 KV,results/9127_bf16_fp8kv_c16.summary.json
qwen2_5_vl_3b_bf16_fp8kv,data/mmstar_full/mmstar_requests.jsonl,1500,32,16,103.29806265234947,14.521085502331859,29.022809557327275,1500,0,0.0,0.5473333333333333,0.9993333333333333,2.182274001866579,1.8931085988879204,3.821555621922016,4.662374392151833,2.0065092237180395,1.8126895353198051,3.0703917779028416,0.17635830730110347,0.9520973786711693,usage.completion_tokens,9127,BF16 + FP8 KV,results/9127_bf16_fp8kv_c32.summary.json
